model,dataset,layers,step,perplexity,log_file
fox,pile,2-layer,419430400,186.871,fox_2_4_256_pile.log
fox,pile,2-layer,524288000,143.364,fox_2_4_256_pile.log
fox,pile,2-layer,629145600,119.177,fox_2_4_256_pile.log
fox,pile,2-layer,734003200,100.286,fox_2_4_256_pile.log
fox,pile,2-layer,838860800,84.724,fox_2_4_256_pile.log
fox,pile,2-layer,943718400,73.679,fox_2_4_256_pile.log
fox,pile,2-layer,1048576000,66.243,fox_2_4_256_pile.log
fox,pile,2-layer,1153433600,61.155,fox_2_4_256_pile.log
fox,pile,2-layer,1258291200,58.087,fox_2_4_256_pile.log
fox,pile,2-layer,1363148800,55.285,fox_2_4_256_pile.log
fox,pile,2-layer,1468006400,53.657,fox_2_4_256_pile.log
fox,pile,2-layer,1572864000,52.464,fox_2_4_256_pile.log
fox,pile,2-layer,1677721600,51.744,fox_2_4_256_pile.log
fox,pile,2-layer,1782579200,50.716,fox_2_4_256_pile.log
fox,pile,2-layer,1887436800,50.307,fox_2_4_256_pile.log
fox,pile,2-layer,1992294400,50.294,fox_2_4_256_pile.log
fox,pile,2-layer,2097152000,50.72,fox_2_4_256_pile.log
geometric,babylm_100m,2-layer,168820736,588.013,geometric_2_4_256_babylm_100m.log
geometric,babylm_100m,2-layer,337641472,366.004,geometric_2_4_256_babylm_100m.log
geometric,babylm_100m,2-layer,506462208,366.004,geometric_2_4_256_babylm_100m.log
geometric,babylm_100m,2-layer,675282944,366.004,geometric_2_4_256_babylm_100m.log
geometric,babylm_100m,2-layer,844103680,366.004,geometric_2_4_256_babylm_100m.log
geometric,babylm_100m,2-layer,1012924416,366.004,geometric_2_4_256_babylm_100m.log
geometric,babylm_100m,2-layer,1181745152,366.004,geometric_2_4_256_babylm_100m.log
geometric,babylm_100m,2-layer,1350565888,366.004,geometric_2_4_256_babylm_100m.log
geometric,babylm_100m,2-layer,1519386624,366.004,geometric_2_4_256_babylm_100m.log
geometric,babylm_100m,2-layer,1688207360,366.004,geometric_2_4_256_babylm_100m.log
geometric,babylm_10m,2-layer,16777216,1826.987,geometric_2_4_256_babylm_10m.log
geometric,babylm_10m,2-layer,33554432,339.953,geometric_2_4_256_babylm_10m.log
geometric,babylm_10m,2-layer,50331648,339.953,geometric_2_4_256_babylm_10m.log
geometric,babylm_10m,2-layer,67108864,339.953,geometric_2_4_256_babylm_10m.log
geometric,babylm_10m,2-layer,83886080,339.953,geometric_2_4_256_babylm_10m.log
geometric,babylm_10m,2-layer,100663296,339.953,geometric_2_4_256_babylm_10m.log
geometric,babylm_10m,2-layer,117440512,339.953,geometric_2_4_256_babylm_10m.log
geometric,babylm_10m,2-layer,134217728,339.953,geometric_2_4_256_babylm_10m.log
geometric,babylm_10m,2-layer,150994944,339.953,geometric_2_4_256_babylm_10m.log
geometric,babylm_10m,2-layer,167772160,339.953,geometric_2_4_256_babylm_10m.log
geometric,pile,2-layer,167772160,5565.414,geometric_2_4_256_pile.log
geometric,pile,2-layer,335544320,4119.752,geometric_2_4_256_pile.log
geometric,pile,2-layer,503316480,4121.609,geometric_2_4_256_pile.log
geometric,pile,2-layer,671088640,4120.867,geometric_2_4_256_pile.log
geometric,pile,2-layer,838860800,4117.128,geometric_2_4_256_pile.log
geometric,pile,2-layer,1006632960,4111.342,geometric_2_4_256_pile.log
geometric,pile,2-layer,1174405120,4112.135,geometric_2_4_256_pile.log
geometric,pile,2-layer,1342177280,4113.347,geometric_2_4_256_pile.log
geometric,pile,2-layer,1509949440,4110.722,geometric_2_4_256_pile.log
geometric,pile,2-layer,1677721600,4117.883,geometric_2_4_256_pile.log
geometric,babylm_100m,4-layer,168820736,1580.364,geometric_4_6_384_babylm_100m.log
geometric,babylm_100m,4-layer,337641472,1277.05,geometric_4_6_384_babylm_100m.log
geometric,babylm_100m,4-layer,506462208,1277.05,geometric_4_6_384_babylm_100m.log
geometric,babylm_100m,4-layer,675282944,1277.05,geometric_4_6_384_babylm_100m.log
geometric,babylm_100m,4-layer,844103680,1277.05,geometric_4_6_384_babylm_100m.log
geometric,babylm_100m,4-layer,1012924416,1277.05,geometric_4_6_384_babylm_100m.log
geometric,babylm_100m,4-layer,1181745152,1277.05,geometric_4_6_384_babylm_100m.log
geometric,babylm_100m,4-layer,1350565888,1277.05,geometric_4_6_384_babylm_100m.log
geometric,babylm_100m,4-layer,1519386624,1277.05,geometric_4_6_384_babylm_100m.log
geometric,babylm_100m,4-layer,1688207360,1277.05,geometric_4_6_384_babylm_100m.log
geometric,babylm_10m,4-layer,16777216,2918.444,geometric_4_6_384_babylm_10m.log
geometric,babylm_10m,4-layer,33554432,1650.02,geometric_4_6_384_babylm_10m.log
geometric,babylm_10m,4-layer,50331648,1650.02,geometric_4_6_384_babylm_10m.log
geometric,babylm_10m,4-layer,67108864,1650.02,geometric_4_6_384_babylm_10m.log
geometric,babylm_10m,4-layer,83886080,1650.02,geometric_4_6_384_babylm_10m.log
geometric,babylm_10m,4-layer,100663296,1650.02,geometric_4_6_384_babylm_10m.log
geometric,babylm_10m,4-layer,117440512,1650.02,geometric_4_6_384_babylm_10m.log
geometric,babylm_10m,4-layer,134217728,1650.02,geometric_4_6_384_babylm_10m.log
geometric,babylm_10m,4-layer,150994944,1650.02,geometric_4_6_384_babylm_10m.log
geometric,babylm_10m,4-layer,167772160,1650.02,geometric_4_6_384_babylm_10m.log
geometric,pile,4-layer,167772160,5297.399,geometric_4_6_384_pile.log
geometric,pile,4-layer,335544320,4254.128,geometric_4_6_384_pile.log
geometric,pile,4-layer,503316480,4256.846,geometric_4_6_384_pile.log
geometric,pile,4-layer,671088640,4255.191,geometric_4_6_384_pile.log
geometric,pile,4-layer,838860800,4253.384,geometric_4_6_384_pile.log
geometric,pile,4-layer,1006632960,4245.94,geometric_4_6_384_pile.log
geometric,pile,4-layer,1174405120,4247.671,geometric_4_6_384_pile.log
geometric,pile,4-layer,1342177280,4248.115,geometric_4_6_384_pile.log
geometric,pile,4-layer,1509949440,4245.647,geometric_4_6_384_pile.log
geometric,pile,4-layer,1677721600,4251.328,geometric_4_6_384_pile.log
hard_2gram,babylm_100m,2-layer,168820736,397.822,hard_2gram_2_4_256_babylm_100m.log
hard_2gram,babylm_100m,2-layer,337641472,176.656,hard_2gram_2_4_256_babylm_100m.log
hard_2gram,babylm_100m,2-layer,506462208,166.442,hard_2gram_2_4_256_babylm_100m.log
hard_2gram,babylm_100m,2-layer,675282944,161.955,hard_2gram_2_4_256_babylm_100m.log
hard_2gram,babylm_100m,2-layer,844103680,159.299,hard_2gram_2_4_256_babylm_100m.log
hard_2gram,babylm_100m,2-layer,1012924416,157.486,hard_2gram_2_4_256_babylm_100m.log
hard_2gram,babylm_100m,2-layer,1181745152,156.192,hard_2gram_2_4_256_babylm_100m.log
hard_2gram,babylm_100m,2-layer,1350565888,155.259,hard_2gram_2_4_256_babylm_100m.log
hard_2gram,babylm_100m,2-layer,1519386624,154.633,hard_2gram_2_4_256_babylm_100m.log
hard_2gram,babylm_100m,2-layer,1688207360,154.298,hard_2gram_2_4_256_babylm_100m.log
hard_2gram,babylm_10m,2-layer,16777216,1908.509,hard_2gram_2_4_256_babylm_10m.log
hard_2gram,babylm_10m,2-layer,33554432,248.364,hard_2gram_2_4_256_babylm_10m.log
hard_2gram,babylm_10m,2-layer,50331648,208.602,hard_2gram_2_4_256_babylm_10m.log
hard_2gram,babylm_10m,2-layer,67108864,190.863,hard_2gram_2_4_256_babylm_10m.log
hard_2gram,babylm_10m,2-layer,83886080,180.659,hard_2gram_2_4_256_babylm_10m.log
hard_2gram,babylm_10m,2-layer,100663296,174.431,hard_2gram_2_4_256_babylm_10m.log
hard_2gram,babylm_10m,2-layer,117440512,170.456,hard_2gram_2_4_256_babylm_10m.log
hard_2gram,babylm_10m,2-layer,134217728,168.041,hard_2gram_2_4_256_babylm_10m.log
hard_2gram,babylm_10m,2-layer,150994944,166.729,hard_2gram_2_4_256_babylm_10m.log
hard_2gram,babylm_10m,2-layer,167772160,166.208,hard_2gram_2_4_256_babylm_10m.log
hard_2gram,pile,2-layer,167772160,3387.891,hard_2gram_2_4_256_pile.log
hard_2gram,pile,2-layer,335544320,1373.169,hard_2gram_2_4_256_pile.log
hard_2gram,pile,2-layer,503316480,1153.085,hard_2gram_2_4_256_pile.log
hard_2gram,pile,2-layer,671088640,1074.048,hard_2gram_2_4_256_pile.log
hard_2gram,pile,2-layer,838860800,1029.865,hard_2gram_2_4_256_pile.log
hard_2gram,pile,2-layer,1006632960,1011.85,hard_2gram_2_4_256_pile.log
hard_2gram,pile,2-layer,1174405120,995.646,hard_2gram_2_4_256_pile.log
hard_2gram,pile,2-layer,1342177280,982.558,hard_2gram_2_4_256_pile.log
hard_2gram,pile,2-layer,1509949440,979.663,hard_2gram_2_4_256_pile.log
hard_2gram,pile,2-layer,1677721600,977.883,hard_2gram_2_4_256_pile.log
hard_2gram,babylm_100m,4-layer,168820736,327.078,hard_2gram_4_6_384_babylm_100m.log
hard_2gram,babylm_100m,4-layer,337641472,171.533,hard_2gram_4_6_384_babylm_100m.log
hard_2gram,babylm_100m,4-layer,506462208,162.526,hard_2gram_4_6_384_babylm_100m.log
hard_2gram,babylm_100m,4-layer,675282944,158.406,hard_2gram_4_6_384_babylm_100m.log
hard_2gram,babylm_100m,4-layer,844103680,155.782,hard_2gram_4_6_384_babylm_100m.log
hard_2gram,babylm_100m,4-layer,1012924416,153.87,hard_2gram_4_6_384_babylm_100m.log
hard_2gram,babylm_100m,4-layer,1181745152,152.408,hard_2gram_4_6_384_babylm_100m.log
hard_2gram,babylm_100m,4-layer,1350565888,151.297,hard_2gram_4_6_384_babylm_100m.log
hard_2gram,babylm_100m,4-layer,1519386624,150.504,hard_2gram_4_6_384_babylm_100m.log
hard_2gram,babylm_100m,4-layer,1688207360,150.052,hard_2gram_4_6_384_babylm_100m.log
hard_2gram,babylm_10m,4-layer,16777216,971.965,hard_2gram_4_6_384_babylm_10m.log
hard_2gram,babylm_10m,4-layer,33554432,226.825,hard_2gram_4_6_384_babylm_10m.log
hard_2gram,babylm_10m,4-layer,50331648,195.104,hard_2gram_4_6_384_babylm_10m.log
hard_2gram,babylm_10m,4-layer,67108864,180.006,hard_2gram_4_6_384_babylm_10m.log
hard_2gram,babylm_10m,4-layer,83886080,171.046,hard_2gram_4_6_384_babylm_10m.log
hard_2gram,babylm_10m,4-layer,100663296,165.087,hard_2gram_4_6_384_babylm_10m.log
hard_2gram,babylm_10m,4-layer,117440512,161.099,hard_2gram_4_6_384_babylm_10m.log
hard_2gram,babylm_10m,4-layer,134217728,158.514,hard_2gram_4_6_384_babylm_10m.log
hard_2gram,babylm_10m,4-layer,150994944,157.02,hard_2gram_4_6_384_babylm_10m.log
